,price_eur_per_kwh
2024-06-01 00:00:00+02:00,0.126628651105467
2024-06-01 01:00:00+02:00,0.12533947568354353
2024-06-01 02:00:00+02:00,0.12920211325221645
2024-06-01 03:00:00+02:00,0.12652450058576523
2024-06-01 04:00:00+02:00,0.12332165313419448
2024-06-01 05:00:00+02:00,0.12780797527454746
2024-06-01 06:00:00+02:00,0.1685200002256507
2024-06-01 07:00:00+02:00,0.16673540481564622
2024-06-01 08:00:00+02:00,0.15848132382096505
2024-06-01 09:00:00+02:00,0.15567289264476974
2024-06-01 10:00:00+02:00,0.15888362768731323
2024-06-01 11:00:00+02:00,0.16220662989673623
2024-06-01 12:00:00+02:00,0.15037484612680582
2024-06-01 13:00:00+02:00,0.1609060416803373
2024-06-01 14:00:00+02:00,0.15577044526373468
2024-06-01 15:00:00+02:00,0.15833866322648274
2024-06-01 16:00:00+02:00,0.26727870508571344
2024-06-01 17:00:00+02:00,0.26841849921815425
2024-06-01 18:00:00+02:00,0.27205815268187067
2024-06-01 19:00:00+02:00,0.2752125668472134
2024-06-01 20:00:00+02:00,0.26935732668527984
2024-06-01 21:00:00+02:00,0.20483231735274843
2024-06-01 22:00:00+02:00,0.19467402663256694
2024-06-01 23:00:00+02:00,0.1997575503504651
2024-06-02 00:00:00+02:00,0.13051735090825908
2024-06-02 01:00:00+02:00,0.1264700614888044
2024-06-02 02:00:00+02:00,0.12228250375323099
2024-06-02 03:00:00+02:00,0.12139137311870793
2024-06-02 04:00:00+02:00,0.12371137087166334
2024-06-02 05:00:00+02:00,0.1271009756173503
2024-06-02 06:00:00+02:00,0.15695190908230633
2024-06-02 07:00:00+02:00,0.16095412212564145
2024-06-02 08:00:00+02:00,0.16120387495042762
2024-06-02 09:00:00+02:00,0.16470422792342904
2024-06-02 10:00:00+02:00,0.1630732956125317
2024-06-02 11:00:00+02:00,0.1637768635451996
2024-06-02 12:00:00+02:00,0.1587308569529083
2024-06-02 13:00:00+02:00,0.16135193183153615
2024-06-02 14:00:00+02:00,0.16591987735030667
2024-06-02 15:00:00+02:00,0.1694671557261038
2024-06-02 16:00:00+02:00,0.2637046723394794
2024-06-02 17:00:00+02:00,0.27756961887369536
2024-06-02 18:00:00+02:00,0.27672937711891155
2024-06-02 19:00:00+02:00,0.27390655700350214
2024-06-02 20:00:00+02:00,0.27132227815164656
2024-06-02 21:00:00+02:00,0.19643038592731787
2024-06-02 22:00:00+02:00,0.2052901034176848
2024-06-02 23:00:00+02:00,0.20780129158224983
2024-06-03 00:00:00+02:00,0.14900817434933064
2024-06-03 01:00:00+02:00,0.14657551882367187
2024-06-03 02:00:00+02:00,0.1417869020532948
2024-06-03 03:00:00+02:00,0.13395840683858914
2024-06-03 04:00:00+02:00,0.1399777293343996
2024-06-03 05:00:00+02:00,0.14328237467538169
2024-06-03 06:00:00+02:00,0.17355819268125222
2024-06-03 07:00:00+02:00,0.18197561030091003
2024-06-03 08:00:00+02:00,0.18214931847411114
2024-06-03 09:00:00+02:00,0.18348021361981434
2024-06-03 10:00:00+02:00,0.17407941016621406
2024-06-03 11:00:00+02:00,0.17669148713980481
2024-06-03 12:00:00+02:00,0.1778178237642839
2024-06-03 13:00:00+02:00,0.17415099046113566
2024-06-03 14:00:00+02:00,0.18869683938565066
2024-06-03 15:00:00+02:00,0.17752044635778924
2024-06-03 16:00:00+02:00,0.301644848147301
2024-06-03 17:00:00+02:00,0.2987071372726304
2024-06-03 18:00:00+02:00,0.3079173643940106
2024-06-03 19:00:00+02:00,0.3066018049354092
2024-06-03 20:00:00+02:00,0.30316676311412455
